trip_id,route_id,day_of_week,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,delay_minutes,status
T001,Route_42,Monday,07:00,07:03,07:45,08:02,17,Minor Delay
T002,Route_7,Monday,07:30,07:31,08:15,08:46,31,Severe Delay
T003,Route_15,Monday,08:00,08:01,08:30,08:34,4,On Time
T004,Route_23,Tuesday,07:15,07:14,07:55,07:54,0,On Time
T005,Route_42,Tuesday,08:30,08:33,09:15,09:37,22,Major Delay
T006,Route_7,Wednesday,07:00,07:08,07:45,08:19,34,Severe Delay
T007,Route_15,Wednesday,09:00,09:02,09:30,09:33,3,On Time
T008,Route_23,Thursday,07:30,07:30,08:10,08:12,2,On Time
T009,Route_42,Thursday,08:00,08:09,08:45,09:03,18,Major Delay
T010,Route_7,Friday,07:15,07:16,08:00,08:18,18,Major Delay
T011,Route_15,Friday,08:30,08:31,09:00,09:07,7,Minor Delay
T012,Route_23,Friday,09:00,09:00,09:40,09:41,1,On Time
T013,Route_42,Monday,17:00,17:04,17:45,18:06,21,Major Delay
T014,Route_7,Tuesday,17:30,17:32,18:15,18:49,34,Severe Delay
T015,Route_15,Wednesday,18:00,18:01,18:30,18:38,8,Minor Delay
T016,Route_23,Thursday,17:15,17:15,17:55,17:58,3,On Time
T017,Route_42,Friday,18:30,18:35,19:15,19:52,37,Severe Delay
T018,Route_7,Monday,08:00,08:02,08:45,08:47,2,On Time
T019,Route_15,Tuesday,07:45,07:46,08:15,08:19,4,On Time
T020,Route_23,Wednesday,08:15,08:16,09:00,09:14,14,Minor Delay
